2022-11-20 20:11:34,316 - DEBUG    - Отладочная информация 
2022-11-20 20:11:34,316 - INFO     - Информационное сообщение 
2022-11-20 20:11:34,316 - WARNING  - Предупреждение 
2022-11-20 20:11:34,316 - ERROR    - Ошибка 
2022-11-20 20:11:34,316 - CRITICAL - Критическое общение 2022-11-20 20:23:48,142 - INFO     - PORT : 7777 ,IP_ADDRESS
2022-11-20 20:24:01,657 - DEBUG    - server: get_message((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53745)>,), {}) 
2022-11-20 20:24:01,657 - INFO     - Функция get_message вызвана из функции start 
2022-11-20 20:24:01,658 - DEBUG    - Получено сообщение от клиента {'action': 'presence', 'time': 1668957840.2281952, 'type': 'status', 'user': {'account_name': 'qwqwq', 'sock': ['127.0.0.1', 53745]}} 
2022-11-20 20:24:01,658 - INFO     - Соединение с клиентом: НОРМАЛЬНОЕ {'response': 200} 
2022-11-20 20:24:01,658 - DEBUG    - Получено сообщение от клиента {'action': 'presence', 'time': 1668957840.2281952, 'type': 'status', 'user': {'account_name': 'qwqwq', 'sock': ['127.0.0.1', 53745]}} 
2022-11-20 20:24:01,658 - INFO     - Соединение с клиентом: НОРМАЛЬНОЕ {'response': 200} 
2022-11-20 20:24:01,658 - DEBUG    - server: send_message((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53745)>, {'response': 200, 'data': None, 'login': 'qwqwq', 'sock': ['127.0.0.1', 53745]}), {}) 
2022-11-20 20:24:01,658 - INFO     - Функция send_message вызвана из функции start 
